"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 25, 2020","346","346","350","342","110.78M","0.58%"
"Sep 24, 2020","344","348","350","342","93.45M","-2.82%"
"Sep 23, 2020","354","360","366","348","61.47M","-1.12%"
"Sep 22, 2020","358","364","366","356","86.29M","-3.24%"
"Sep 21, 2020","370","386","388","368","64.20M","-3.65%"
"Sep 18, 2020","384","378","386","374","74.82M","2.13%"
"Sep 17, 2020","376","380","380","372","46.26M","0.53%"
"Sep 16, 2020","374","374","376","368","59.21M","0.00%"
"Sep 15, 2020","374","386","388","368","107.98M","-1.58%"
"Sep 14, 2020","380","360","380","360","178.89M","8.57%"
"Sep 11, 2020","350","344","364","332","345.25M","-1.69%"
"Sep 10, 2020","356","370","370","356","141.66M","-6.81%"
"Sep 09, 2020","382","400","400","380","141.68M","-4.98%"
"Sep 08, 2020","402","402","404","400","37.99M","0.00%"
"Sep 07, 2020","402","406","410","400","54.99M","-0.99%"
"Sep 04, 2020","406","406","408","398","55.93M","-0.49%"
"Sep 03, 2020","408","412","414","406","37.32M","-0.49%"
"Sep 02, 2020","410","420","420","408","31.09M","0.00%"
"Sep 01, 2020","410","408","414","406","30.64M","0.49%"
"Aug 31, 2020","408","422","424","404","161.07M","-2.86%"
"Aug 28, 2020","420","422","424","416","69.94M","0.48%"
"Aug 27, 2020","418","424","426","414","130.85M","-0.95%"
"Aug 26, 2020","422","428","430","422","54.09M","-1.40%"
"Aug 25, 2020","428","418","434","416","192.50M","2.88%"
"Aug 24, 2020","416","414","418","412","72.65M","0.97%"
"Aug 19, 2020","412","408","422","406","204.96M","1.48%"
"Aug 18, 2020","406","392","408","392","115.15M","3.57%"
"Aug 14, 2020","392","402","404","390","120.95M","-2.00%"
"Aug 13, 2020","400","406","412","400","77.52M","-1.48%"
"Aug 12, 2020","406","396","408","390","234.60M","3.05%"
"Aug 11, 2020","394","386","394","384","163.45M","2.60%"
"Aug 10, 2020","384","376","388","372","134.12M","2.13%"
"Aug 07, 2020","376","390","392","374","176.32M","-3.09%"
"Aug 06, 2020","388","398","398","386","218.55M","-1.02%"
"Aug 05, 2020","392","398","400","386","245.38M","-1.51%"
"Aug 04, 2020","398","404","404","394","91.86M","0.51%"
"Aug 03, 2020","396","424","426","396","97.56M","-6.60%"
"Jul 30, 2020","424","424","428","416","84.75M","0.00%"
"Jul 29, 2020","424","428","432","424","47.58M","-0.47%"
"Jul 28, 2020","426","432","436","424","56.64M","-0.47%"
"Jul 27, 2020","428","424","432","424","79.36M","0.94%"
"Jul 24, 2020","424","430","432","422","60.55M","-0.47%"
"Jul 23, 2020","426","420","434","416","148.26M","1.43%"
"Jul 22, 2020","420","428","430","420","87.19M","-1.87%"
"Jul 21, 2020","428","420","432","418","115.37M","2.39%"
"Jul 20, 2020","418","424","428","416","140.80M","-1.42%"
"Jul 17, 2020","424","428","432","422","99.90M","-0.93%"
"Jul 16, 2020","428","428","438","426","166.69M","0.00%"
"Jul 15, 2020","428","420","432","416","280.33M","3.38%"
"Jul 14, 2020","414","410","418","408","127.75M","1.47%"
"Jul 13, 2020","408","410","410","404","64.20M","0.49%"
"Jul 10, 2020","406","418","418","404","149.56M","-2.40%"
"Jul 09, 2020","416","422","428","414","181.06M","-0.95%"
"Jul 08, 2020","420","414","422","412","105.48M","1.94%"
"Jul 07, 2020","412","418","420","412","80.95M","-0.48%"
"Jul 06, 2020","414","420","422","414","78.82M","-0.96%"
"Jul 03, 2020","418","430","436","416","114.15M","-2.34%"
"Jul 02, 2020","428","414","428","412","165.03M","3.88%"
"Jul 01, 2020","412","418","422","410","57.39M","-0.96%"
"Jun 30, 2020","416","430","436","416","61.79M","-2.35%"
"Jun 29, 2020","426","424","428","414","80.10M","0.47%"
"Jun 26, 2020","424","426","434","424","56.34M","0.00%"
"Jun 25, 2020","424","444","444","418","119.18M","-2.75%"
"Jun 24, 2020","436","440","450","432","99.76M","0.00%"
"Jun 23, 2020","436","448","450","430","101.06M","-2.68%"
"Jun 22, 2020","448","448","454","440","30.08M","0.45%"
"Jun 19, 2020","446","458","462","446","74.81M","-2.62%"
"Jun 18, 2020","458","464","470","456","99.91M","-1.29%"
"Jun 17, 2020","464","458","470","458","136.66M","1.31%"
"Jun 16, 2020","458","444","464","444","201.23M","5.53%"
"Jun 15, 2020","434","460","470","434","259.30M","-4.41%"
"Jun 12, 2020","454","434","468","414","328.30M","4.61%"
"Jun 11, 2020","434","428","448","420","189.81M","0.46%"
"Jun 10, 2020","432","454","464","424","265.38M","-4.85%"
"Jun 09, 2020","454","484","494","454","275.22M","-5.42%"
"Jun 08, 2020","480","470","496","466","525.37M","3.90%"
"Jun 05, 2020","462","416","468","414","446.87M","11.59%"
"Jun 04, 2020","414","416","428","408","432.98M","0.49%"
"Jun 03, 2020","412","388","416","386","381.20M","7.29%"
"Jun 02, 2020","384","370","388","364","439.33M","6.08%"
"May 29, 2020","362","376","402","362","1.60B","-3.72%"
"May 28, 2020","376","400","408","376","181.45M","-6.00%"
"May 27, 2020","400","366","420","364","299.01M","10.50%"
"May 26, 2020","362","342","366","334","147.97M","6.47%"
"May 20, 2020","340","342","346","334","39.02M","-0.58%"
"May 19, 2020","342","342","352","334","87.82M","2.40%"
"May 18, 2020","334","326","344","312","137.55M","2.45%"
"May 15, 2020","326","340","344","324","54.97M","-3.55%"
"May 14, 2020","338","328","342","326","59.38M","1.20%"
"May 13, 2020","334","344","350","322","174.72M","-3.47%"
"May 12, 2020","346","358","362","342","55.41M","-3.89%"
"May 11, 2020","360","358","368","356","90.07M","1.12%"
"May 08, 2020","356","354","364","348","52.51M","1.71%"
"May 06, 2020","350","348","352","342","27.37M","1.16%"
"May 05, 2020","346","354","356","342","54.47M","-1.70%"
"May 04, 2020","352","376","376","352","55.92M","-6.88%"
"Apr 30, 2020","378","364","386","360","70.05M","5.00%"
"Apr 29, 2020","360","348","370","348","37.98M","0.00%"
"Apr 28, 2020","360","340","362","332","64.47M","6.51%"
"Apr 27, 2020","338","354","354","326","125.23M","-3.43%"
"Apr 24, 2020","350","376","380","350","43.38M","-6.91%"
"Apr 23, 2020","376","376","384","374","28.62M","0.00%"
"Apr 22, 2020","376","374","384","364","50.31M","-0.53%"
