Date;Open;High;Low;Close;Adj Close;Volume
16/09/2021;5.425;5.475;5.350;5.375;5.332.565.918;27187700
17/09/2021;5.375;5.425;5.275;5.425;5.382.170.898;44004000
20/09/2021;5.425;5.425;5.225;5.300;5.258.157.715;46896100
21/09/2021;5.275;5.275;5.150;5.225;5.183.750.000;23656300
22/09/2021;5.225;5.350;5.200;5.275;5.233.354.980;21750800
23/09/2021;5.275;5.325;5.150;5.150;5.109.341.797;27178400
24/09/2021;5.150;5.225;5.125;5.150;5.109.341.797;29394300
27/09/2021;5.150;5.225;5.125;5.175;5.134.144.531;25252300
28/09/2021;5.175;5.200;5.075;5.075;5.034.934.082;35640900
29/09/2021;5.075;5.350;5.050;5.325;5.282.960.449;42995900
30/09/2021;5.375;5.500;5.300;5.500;5.456.578.613;44723000
01/10/2021;5.450;5.500;5.400;5.450;5.406.973.633;27484100
04/10/2021;5.500;5.625;5.475;5.575;5.530.986.816;52074900
05/10/2021;5.575;5.650;5.500;5.550;5.506.184.082;27128000
06/10/2021;5.600;6.100;5.575;5.975;5.927.828.613;168237500
07/10/2021;5.975;6.000;5.700;5.700;5.655.000.000;97516000
08/10/2021;5.700;5.975;5.625;5.900;5.900.000.000;91094200
11/10/2021;5.925;5.950;5.775;5.775;5.775.000.000;38994500
12/10/2021;5.800;5.950;5.775;5.875;5.875.000.000;68823100
13/10/2021;5.950;6.300;5.925;6.275;6.275.000.000;143652900
14/10/2021;6.300;6.450;6.125;6.225;6.225.000.000;104502800
15/10/2021;6.275;6.300;6.125;6.250;6.250.000.000;82896700
18/10/2021;6.275;6.350;6.200;6.225;6.225.000.000;61419000
19/10/2021;6.275;6.375;6.200;6.350;6.350.000.000;52117000
21/10/2021;6.350;6.350;6.125;6.150;6.150.000.000;132905200
22/10/2021;6.150;6.225;6.125;6.175;6.175.000.000;26886400
25/10/2021;6.200;6.225;6.025;6.050;6.050.000.000;51872000
26/10/2021;6.050;6.175;6.050;6.150;6.150.000.000;25950500
27/10/2021;6.100;6.125;6.000;6.000;6.000.000.000;40588700
28/10/2021;6.000;6.175;5.950;6.000;6.000.000.000;50046900
29/10/2021;6.225;6.250;6.025;6.025;6.025.000.000;82397400
01/11/2021;6.050;6.150;6.025;6.025;6.025.000.000;37254100
02/11/2021;6.025;6.100;5.900;5.900;5.900.000.000;25293400
03/11/2021;5.900;6.025;5.825;5.975;5.975.000.000;90495000
04/11/2021;6.075;6.075;5.950;5.975;5.975.000.000;41774200
05/11/2021;5.900;5.975;5.850;5.925;5.925.000.000;80775400
08/11/2021;5.925;6.000;5.900;5.925;5.925.000.000;23177300
09/11/2021;5.900;5.950;5.850;5.850;5.850.000.000;41112200
10/11/2021;5.925;6.250;5.875;6.175;6.175.000.000;104312600
11/11/2021;6.200;6.250;6.150;6.175;6.175.000.000;51111700
12/11/2021;6.200;6.225;6.075;6.150;6.150.000.000;26920800
15/11/2021;6.150;6.175;6.050;6.125;6.125.000.000;22148900
16/11/2021;6.125;6.250;6.100;6.175;6.175.000.000;42681000
17/11/2021;6.225;6.250;6.175;6.250;6.250.000.000;49120900
18/11/2021;6.250;6.250;6.175;6.200;6.200.000.000;29629900
19/11/2021;6.225;6.250;6.200;6.225;6.225.000.000;37505200
22/11/2021;6.250;6.375;6.125;6.200;6.200.000.000;62612600
23/11/2021;6.250;6.300;6.175;6.250;6.250.000.000;31557400
24/11/2021;6.275;6.275;6.200;6.225;6.225.000.000;25645300
25/11/2021;6.250;6.300;6.175;6.225;6.225.000.000;32763500
26/11/2021;6.200;6.225;5.875;5.900;5.900.000.000;93634100
29/11/2021;5.900;6.000;5.750;5.975;5.975.000.000;87367400
30/11/2021;5.950;5.975;5.750;5.775;5.775.000.000;97592700
01/12/2021;5.825;5.850;5.625;5.650;5.650.000.000;102412800
02/12/2021;5.650;5.875;5.600;5.850;5.850.000.000;48422300
03/12/2021;5.900;5.925;5.725;5.750;5.750.000.000;31882900
06/12/2021;5.750;5.800;5.650;5.650;5.650.000.000;53112400
07/12/2021;5.700;5.925;5.700;5.925;5.925.000.000;39679500
08/12/2021;5.925;5.950;5.775;5.800;5.800.000.000;44189500
09/12/2021;5.900;6.000;5.800;6.000;6.000.000.000;35386900
10/12/2021;5.950;5.950;5.800;5.925;5.925.000.000;55629400
13/12/2021;5.925;5.975;5.875;5.900;5.900.000.000;30655800
14/12/2021;5.925;5.925;5.850;5.875;5.875.000.000;17233700
15/12/2021;5.900;6.050;5.875;6.000;6.000.000.000;51113700
16/12/2021;6.025;6.050;5.800;5.800;5.800.000.000;56929600
17/12/2021;5.800;5.825;5.725;5.800;5.800.000.000;55854900
20/12/2021;5.750;5.775;5.675;5.675;5.675.000.000;26290000
21/12/2021;5.675;5.750;5.650;5.650;5.650.000.000;29127800
22/12/2021;5.700;5.775;5.625;5.625;5.625.000.000;33727100
23/12/2021;5.650;5.750;5.625;5.725;5.725.000.000;21744100
24/12/2021;5.725;5.750;5.650;5.675;5.675.000.000;16203800
27/12/2021;5.725;5.750;5.650;5.675;5.675.000.000;20426700
