Date		Price	Open	High	Low	Vol.	Change %
Oct-11	2021	915	935	940	905	36.48M	-0.54%
Nov-11	2021	960	955	975	955	19.46M	0.52%
Jan-12	2021	853	819	853	795	129.61M	6.02%
Mar-12	2021	1,008	974	1,037	969	85.78M	4.52%
Apr-12	2021	911	930	930	891	13.70M	-2.08%
Jul-12	2021	825	845	845	825	17.63M	0.00%
Aug-12	2021	755	745	755	735	21.91M	1.34%
Oct-12	2021	935	915	970	905	142.16M	2.19%
Nov-12	2021	960	960	1	955	86.54M	0.00%
Jan-13	2021	814	858	867	814	80.40M	-4.55%
Apr-13	2021	901	911	911	887	6.80M	-1.06%
Jul-13	2021	800	825	835	785	30.05M	-3.03%
Aug-13	2021	750	760	765	745	35.66M	-0.66%
Sep-13	2021	865	885	885	845	25.36M	-1.70%
Oct-13	2021	945	940	955	925	54.19M	1.07%
Dec-13	2021	905	905	920	895	27.51M	1.12%
Jan-14	2021	795	824	824	790	50.00M	-2.38%
Apr-14	2021	911	906	925	896	34.22M	1.08%
Jun-14	2021	845	855	875	840	46.42M	-1.17%
Jul-14	2021	770	790	805	765	27.51M	-3.75%
Sep-14	2021	865	870	880	850	35.62M	0.00%
Oct-14	2021	955	940	965	935	79.21M	1.06%
Dec-14	2021	895	910	915	885	8.44M	-1.10%
Jan-15	2021	804	795	819	790	50.20M	1.22%
Feb-15	2021	833	790	833	775	91.08M	6.83%
Mar-15	2021	1,013	1,017	1,027	988	43.10M	0.48%
Apr-15	2021	911	911	916	901	9.23M	0.00%
Jun-15	2021	850	850	865	845	37.90M	0.59%
Jul-15	2021	770	775	785	760	27.56M	0.00%
Sep-15	2021	870	865	890	860	39.47M	0.58%
Oct-15	2021	950	960	970	945	43.66M	-0.52%
Nov-15	2021	950	960	970	945	15.43M	-1.04%
Dec-15	2021	880	890	895	880	5.91M	-1.68%
Feb-16	2021	828	838	838	809	52.62M	-0.58%
Mar-16	2021	1,008	1,022	1,022	993	18.29M	-0.48%
Apr-16	2021	911	911	921	906	6.50M	0.00%
Jun-16	2021	870	850	875	845	33.08M	2.35%
Jul-16	2021	790	780	805	770	33.98M	2.60%
Aug-16	2021	740	750	755	730	48.83M	-1.33%
Sep-16	2021	855	870	880	850	29.13M	-1.72%
Nov-16	2021	970	950	975	945	11.19M	2.11%
Dec-16	2021	855	880	900	855	34.93M	-2.84%
Feb-17	2021	819	828	858	804	91.46M	-1.17%
Mar-17	2021	998	1,008	1,013	950	28.40M	-0.96%
May-17	2021	887	901	906	877	10.33M	-1.61%
Jun-17	2021	860	870	875	850	35.73M	-1.15%
Sep-17	2021	845	855	860	840	32.04M	-1.17%
