"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 09, 2020","18.507","18.421","18.421","18.421","2.27K","-1.23%"
"Jan 08, 2020","18.737","18.651","18.651","18.651","2.27K","-1.19%"
"Jan 07, 2020","18.962","18.876","18.876","18.876","1.85K","1.14%"
"Jan 06, 2020","18.748","18.662","18.662","18.662","4.18K","2.94%"
"Jan 05, 2020","18.212","18.098","18.343","18.098","-","-2.71%"
"Jan 03, 2020","18.719","18.633","18.633","18.633","1.42K","0.55%"
"Jan 02, 2020","18.616","18.530","18.530","18.530","0.73K","3.78%"
"Jan 01, 2020","17.938","17.913","18.000","17.913","-","-2.99%"
"Dec 31, 2019","18.490","18.404","18.404","18.404","0.77K","-0.43%"
"Dec 30, 2019","18.570","18.484","18.484","18.484","0.27K","3.87%"
"Dec 29, 2019","17.878","17.835","17.887","17.835","-","-3.39%"
"Dec 27, 2019","18.506","18.420","18.420","18.420","0.45K","-0.26%"
"Dec 26, 2019","18.555","18.469","18.469","18.469","0.92K","4.05%"
"Dec 25, 2019","17.832","17.850","17.863","17.808","-","-3.20%"
"Dec 24, 2019","18.421","18.180","18.180","18.180","0.00K","1.96%"
"Dec 23, 2019","18.067","17.981","17.981","17.981","0.78K","4.75%"
"Dec 22, 2019","17.247","17.262","17.262","17.238","-","-3.06%"
"Dec 20, 2019","17.792","17.706","17.706","17.706","0.22K","0.39%"
"Dec 19, 2019","17.722","17.636","17.636","17.636","0.14K","0.59%"
"Dec 18, 2019","17.618","17.532","17.532","17.532","0.44K","-0.12%"
"Dec 17, 2019","17.640","17.554","17.554","17.554","0.24K","-0.23%"
"Dec 16, 2019","17.681","17.595","17.595","17.595","0.34K","4.11%"
"Dec 15, 2019","16.983","17.000","17.027","16.980","-","-3.42%"
"Dec 13, 2019","17.585","17.499","17.499","17.499","0.58K","0.33%"
"Dec 12, 2019","17.528","17.442","17.442","17.442","0.25K","0.59%"
"Dec 11, 2019","17.426","17.340","17.340","17.340","0.71K","0.83%"
"Dec 10, 2019","17.283","17.197","17.197","17.197","0.83K","0.37%"
"Dec 09, 2019","17.220","17.134","17.134","17.134","0.54K","3.50%"
"Dec 08, 2019","16.637","16.602","16.637","16.598","-","-3.16%"
"Dec 06, 2019","17.180","17.094","17.094","17.094","1.16K","-2.66%"
"Dec 05, 2019","17.650","17.564","17.564","17.564","0.97K","0.71%"
"Dec 04, 2019","17.525","17.439","17.439","17.439","0.48K","-1.93%"
"Dec 03, 2019","17.870","17.784","17.784","17.784","0.52K","1.57%"
"Dec 02, 2019","17.593","17.507","17.507","17.507","0.38K","3.11%"
"Dec 01, 2019","17.062","17.098","17.102","17.052","-","-3.67%"
"Nov 29, 2019","17.712","17.626","17.626","17.626","0.49K","3.99%"
"Nov 28, 2019","17.032","17.080","17.102","17.003","-","-3.51%"
"Nov 27, 2019","17.651","17.565","17.565","17.565","1.40K","-0.69%"
"Nov 26, 2019","17.773","17.687","17.687","17.687","2.24K","0.95%"
"Nov 25, 2019","17.606","17.520","17.520","17.520","4.37K","3.37%"
"Nov 24, 2019","17.032","17.155","17.155","17.010","-","-3.83%"
"Nov 22, 2019","17.710","17.624","17.624","17.624","1.10K","-0.35%"
"Nov 21, 2019","17.772","17.686","17.686","17.686","0.83K","-0.25%"
"Nov 20, 2019","17.817","17.731","17.731","17.731","0.35K","-0.03%"
"Nov 19, 2019","17.823","17.737","17.737","17.737","0.52K","0.67%"
"Nov 18, 2019","17.705","17.619","17.619","17.619","1.64K","4.38%"
"Nov 17, 2019","16.962","16.935","16.968","16.933","-","-3.96%"
"Nov 15, 2019","17.662","17.576","17.576","17.576","0.85K","-0.49%"
"Nov 14, 2019","17.749","17.663","17.663","17.663","1.28K","0.63%"
"Nov 13, 2019","17.638","17.552","17.552","17.552","1.65K","1.26%"
"Nov 12, 2019","17.418","17.332","17.332","17.332","2.86K","-0.67%"
"Nov 11, 2019","17.536","17.450","17.450","17.450","1.41K","4.37%"
"Nov 10, 2019","16.802","16.762","16.808","16.758","-","-4.29%"
"Nov 08, 2019","17.556","17.470","17.470","17.470","1.70K","-1.11%"
"Nov 07, 2019","17.753","17.667","17.667","17.667","1.56K","-3.20%"
"Nov 06, 2019","18.340","18.254","18.254","18.254","0.89K","0.19%"
"Nov 05, 2019","18.306","18.220","18.220","18.220","0.72K","-2.68%"
