"Date","Close","Open","High","Low","Volume","Change %"
"2019-Apr-16","1328.10","1329.10","1329.10","1329.00","0.05K","-1.07%"
"2019-Apr-15","1342.40","1342.40","1342.40","1342.40","0.02K","-0.29%"
"2019-Apr-12","1346.30","1346.30","1346.30","1346.30","0.23K","0.22%"
"2019-Apr-11","1343.40","1356.60","1356.60","1356.60","0.00K","-1.50%"
"2019-Apr-10","1363.90","1363.90","1363.90","1363.90","0.08K","0.40%"
"2019-Apr-09","1358.40","1358.40","1358.40","1358.40","0.00K","0.48%"
"2019-Apr-08","1351.90","1351.90","1351.90","1351.90","0.00K","0.50%"
"2019-Apr-05","1345.20","1345.20","1345.20","1345.20","0.05K","0.13%"
"2019-Apr-04","1343.50","1343.50","1343.50","1343.50","0.04K","-0.04%"
"2019-Apr-03","1344.00","1344.00","1344.00","1344.00","0.05K","0.01%"
"2019-Apr-02","1343.90","1340.80","1343.20","1340.80","0.00K","0.09%"
"2019-Apr-01","1342.70","1342.70","1342.70","1342.70","0.03K","-0.25%"
"2019-Mar-29","1346.00","1354.10","1354.10","1354.10","0.00K","0.27%"
"2019-Mar-28","1342.40","1348.00","1348.00","1342.20","0.01K","-1.57%"
"2019-Mar-27","1363.80","1363.80","1363.80","1363.80","0.04K","-0.40%"
"2019-Mar-26","1369.30","1369.30","1369.30","1369.30","0.01K","-0.64%"
"2019-Mar-25","1378.10","1378.10","1378.10","1378.10","0.10K","0.64%"
"2019-Mar-22","1369.30","1368.20","1368.20","1368.20","0.03K","0.35%"
"2019-Mar-21","1364.50","1364.50","1364.50","1364.50","0.12K","0.37%"
"2019-Mar-20","1359.50","1359.50","1359.50","1359.50","0.02K","-0.38%"
"2019-Mar-19","1364.70","1364.70","1364.70","1364.70","0.00K","0.39%"
"2019-Mar-18","1359.40","1359.40","1359.40","1359.40","0.01K","-0.09%"
"2019-Mar-15","1360.60","1360.60","1360.60","1360.60","0.01K","0.57%"
"2019-Mar-14","1352.90","1352.90","1352.90","1352.90","0.23K","-1.11%"
"2019-Mar-13","1368.10","1368.10","1368.10","1368.10","0.02K","0.85%"
"2019-Mar-12","1356.60","1356.60","1356.60","1356.60","0.08K","0.49%"
"2019-Mar-11","1350.00","1350.00","1350.00","1350.00","0.00K","-0.63%"
"2019-Mar-08","1358.50","1358.50","1358.50","1358.50","0.00K","1.01%"
"2019-Mar-07","1344.90","1344.90","1344.90","1344.90","0.04K","-0.12%"
"2019-Mar-06","1346.50","1346.50","1346.50","1346.50","0.00K","0.22%"
"2019-Mar-05","1343.50","1343.50","1343.50","1343.50","0.00K","-0.21%"
"2019-Mar-04","1346.30","1346.30","1346.30","1346.30","0.02K","-0.88%"
"2019-Mar-01","1358.30","1358.30","1358.30","1358.30","0.13K","-1.24%"
"2019-Feb-28","1375.30","1374.00","1374.00","1374.00","0.01K","-0.38%"
"2019-Feb-27","1380.50","1380.50","1380.50","1380.50","0.00K","-0.53%"
"2019-Feb-26","1387.90","1387.90","1387.90","1387.90","0.00K","-0.08%"
"2019-Feb-25","1389.00","1389.00","1389.00","1389.00","0.00K","-0.25%"
"2019-Feb-22","1392.50","1392.50","1392.50","1392.50","0.02K","0.38%"
"2019-Feb-21","1387.20","1388.00","1388.00","1388.00","0.03K","-1.39%"
"2019-Feb-20","1406.70","1406.70","1406.70","1406.70","0.15K","0.20%"
"2019-Feb-19","1403.90","1403.90","1403.90","1403.90","0.04K","5.59%"
"2019-Feb-18","1329.55","1324.35","1330.75","1324.05","-","0.40%"
"2019-Feb-17","1324.25","1324.65","1324.95","1323.85","-","-4.12%"
"2019-Feb-15","1381.20","1381.20","1381.20","1381.20","0.03K","0.58%"
"2019-Feb-14","1373.20","1373.20","1373.20","1373.20","0.07K","-0.10%"
"2019-Feb-13","1374.60","1374.60","1374.60","1374.60","0.05K","0.10%"
"2019-Feb-12","1373.20","1373.20","1373.20","1373.20","0.00K","0.15%"
"2019-Feb-11","1371.20","1371.20","1371.20","1371.20","0.03K","-0.48%"
"2019-Feb-08","1377.80","1377.80","1377.80","1377.80","0.05K","0.31%"
"2019-Feb-07","1373.60","1373.60","1373.60","1373.60","0.00K","-0.01%"
"2019-Feb-06","1373.80","1373.80","1373.80","1373.80","0.00K","-0.35%"
"2019-Feb-05","1378.60","1378.60","1378.60","1378.60","0.04K","0.02%"
"2019-Feb-04","1378.30","1378.30","1378.30","1378.30","0.00K","-0.20%"
"2019-Feb-01","1381.10","1382.60","1382.60","1382.60","0.01K","-0.21%"
"2019-Jan-31","1384.00","1384.00","1384.00","1384.00","0.08K","0.59%"
"2019-Jan-30","1375.90","1377.60","1377.60","1377.60","0.06K","0.02%"
"2019-Jan-29","1375.60","1375.60","1375.60","1375.60","0.20K","0.42%"
"2019-Jan-28","1369.80","1369.80","1369.80","1369.80","0.00K","0.43%"
"2019-Jan-25","1364.00","1360.00","1360.00","1360.00","0.01K","1.42%"
"2019-Jan-24","1344.90","1344.90","1344.90","1344.90","0.05K","-0.33%"
"2019-Jan-23","1349.30","1349.30","1349.30","1349.30","0.02K","0.07%"
"2019-Jan-22","1348.40","1348.40","1348.40","1348.40","0.15K","5.42%"
"2019-Jan-21","1279.05","1281.95","1282.95","1276.15","-","-0.23%"
"2019-Jan-20","1282.05","1281.30","1282.70","1280.50","-","-4.90%"
"2019-Jan-18","1348.10","1348.10","1348.10","1348.10","0.00K","-0.72%"
"2019-Jan-17","1357.90","1357.90","1357.90","1357.90","0.03K","-0.10%"
"2019-Jan-16","1359.30","1359.30","1359.30","1359.30","0.00K","0.41%"
"2019-Jan-15","1353.70","1353.70","1353.70","1353.70","0.01K","-0.26%"
"2019-Jan-14","1357.20","1357.20","1357.20","1357.20","0.40K","0.13%"
"2019-Jan-11","1355.40","1355.40","1355.40","1355.40","0.05K","0.18%"
"2019-Jan-10","1353.00","1353.00","1353.00","1353.00","0.55K","-0.32%"
"2019-Jan-09","1357.30","1357.30","1357.30","1357.30","0.10K","0.46%"
"2019-Jan-08","1351.10","1351.10","1351.10","1351.10","0.00K","-0.30%"
"2019-Jan-07","1355.20","1355.20","1355.20","1355.20","0.01K","0.31%"
"2019-Jan-04","1351.00","1351.80","1351.80","1351.80","0.00K","-0.65%"
"2019-Jan-03","1359.80","1359.80","1359.80","1359.80","0.01K","0.76%"
"2019-Jan-02","1349.50","1349.50","1349.50","1349.50","0.10K","5.15%"
"2019-Jan-01","1283.35","1284.70","1284.75","1282.85","-","-4.73%"
"2018-Dec-31","1347.10","1347.10","1347.10","1347.10","0.05K","-0.09%"
"2018-Dec-28","1348.30","1348.30","1348.30","1348.30","0.08K","0.13%"
"2018-Dec-27","1346.50","1346.50","1346.50","1346.50","0.03K","0.61%"
"2018-Dec-26","1338.30","1343.00","1343.00","1343.00","0.00K","5.32%"
"2018-Dec-25","1270.75","1272.50","1274.55","1270.65","-","-4.96%"
"2018-Dec-24","1337.00","1337.00","1337.00","1337.00","0.03K","1.05%"
"2018-Dec-21","1323.10","1323.10","1323.10","1323.10","0.06K","-0.75%"
"2018-Dec-20","1333.10","1333.10","1333.10","1333.10","0.01K","0.89%"
"2018-Dec-19","1321.30","1321.30","1321.30","1321.30","0.27K","0.21%"
"2018-Dec-18","1318.50","1318.50","1318.50","1318.50","0.03K","0.08%"
"2018-Dec-17","1317.40","1317.40","1317.40","1317.40","0.01K","0.80%"
"2018-Dec-14","1307.00","1307.00","1307.00","1307.00","0.03K","-0.47%"
"2018-Dec-13","1313.20","1313.20","1313.20","1313.20","0.19K","-0.20%"
"2018-Dec-12","1315.80","1315.80","1315.80","1315.80","0.07K","0.22%"
"2018-Dec-11","1312.90","1312.90","1312.90","1312.90","0.00K","-0.14%"
"2018-Dec-10","1314.80","1314.80","1314.80","1314.80","0.09K","-0.36%"
"2018-Dec-07","1319.50","1319.50","1319.50","1319.50","0.00K","0.71%"
"2018-Dec-06","1310.20","1313.90","1313.90","1309.50","0.00K","0.05%"
"2018-Dec-05","1309.60","1309.60","1309.60","1309.60","0.00K","-0.30%"
"2018-Dec-04","1313.60","1313.60","1313.60","1313.60","0.02K","0.55%"
"2018-Dec-03","1306.40","1306.40","1306.40","1306.40","0.05K","1.06%"
"2018-Nov-30","1292.70","1289.70","1289.70","1289.70","0.00K","-0.33%"
"2018-Nov-29","1297.00","1297.00","1297.00","1297.00","0.00K","0.05%"
"2018-Nov-28","1296.40","1296.40","1296.40","1296.40","0.00K","0.77%"
"2018-Nov-27","1286.50","1286.50","1286.50","1286.50","0.01K","-0.72%"
"2018-Nov-26","1295.80","1295.80","1295.80","1295.80","0.00K","-0.02%"
"2018-Nov-23","1296.10","1296.10","1296.10","1296.10","0.06K","5.55%"
"2018-Nov-22","1228.00","1226.40","1229.70","1225.50","-","-5.60%"
"2018-Nov-21","1300.80","1300.80","1300.80","1300.80","0.34K","0.57%"
"2018-Nov-20","1293.40","1293.40","1293.40","1293.40","0.01K","-0.32%"
"2018-Nov-19","1297.50","1297.50","1297.50","1297.50","0.10K","0.20%"
"2018-Nov-16","1294.90","1294.90","1294.90","1294.90","0.00K","0.57%"
"2018-Nov-15","1287.60","1287.60","1287.60","1287.60","0.01K","0.34%"
"2018-Nov-14","1283.20","1283.20","1283.20","1283.20","0.33K","0.67%"
"2018-Nov-13","1274.70","1274.70","1274.70","1274.70","0.01K","-0.16%"
"2018-Nov-12","1276.80","1276.80","1276.80","1276.80","0.03K","-0.42%"
"2018-Nov-09","1282.20","1282.20","1282.20","1282.20","0.08K","-1.32%"
"2018-Nov-08","1299.30","1299.30","1299.30","1299.30","0.00K","-0.27%"
"2018-Nov-07","1302.80","1302.80","1302.80","1302.80","0.00K","0.18%"
"2018-Nov-06","1300.40","1300.40","1300.40","1300.40","0.01K","-0.46%"
"2018-Nov-05","1306.40","1306.40","1306.40","1306.40","0.05K","-0.07%"
"2018-Nov-02","1307.30","1307.30","1307.30","1307.30","0.00K","-0.37%"
"2018-Nov-01","1312.20","1312.20","1312.20","1312.20","0.01K","1.86%"
"2018-Oct-31","1288.20","1291.10","1291.10","1291.10","0.00K","-0.82%"
"2018-Oct-30","1298.90","1296.70","1296.70","1296.70","0.00K","-0.17%"
"2018-Oct-29","1301.10","1301.10","1301.10","1301.10","0.00K","-0.66%"
"2018-Oct-26","1309.70","1309.70","1309.70","1309.70","0.05K","0.23%"
"2018-Oct-25","1306.70","1306.70","1306.70","1306.70","0.00K","0.09%"
"2018-Oct-24","1305.50","1305.50","1305.50","1305.50","0.01K","-0.50%"
"2018-Oct-23","1312.00","1312.00","1312.00","1312.00","0.03K","0.94%"
"2018-Oct-22","1299.80","1299.80","1299.80","1299.80","0.02K","-0.31%"
"2018-Oct-19","1303.80","1303.80","1303.80","1303.80","0.06K","-0.10%"
"2018-Oct-18","1305.10","1305.10","1305.10","1305.10","0.17K","0.25%"
"2018-Oct-17","1301.90","1301.90","1301.90","1301.90","0.01K","-0.30%"
"2018-Oct-16","1305.80","1305.80","1305.80","1305.80","0.05K","0.03%"
"2018-Oct-15","1305.40","1305.40","1305.40","1305.40","0.14K","0.70%"
"2018-Oct-12","1296.30","1296.30","1296.30","1296.30","0.12K","-0.46%"
"2018-Oct-11","1302.30","1271.20","1271.20","1271.20","0.00K","2.73%"
"2018-Oct-10","1267.70","1267.70","1267.70","1267.70","0.06K","0.15%"
"2018-Oct-09","1265.80","1265.80","1265.80","1265.80","0.01K","0.23%"
"2018-Oct-08","1262.90","1262.90","1262.90","1262.90","0.04K","-1.35%"
"2018-Oct-05","1280.20","1280.20","1280.20","1280.20","0.01K","0.37%"
"2018-Oct-04","1275.50","1275.50","1275.50","1275.50","0.00K","-0.09%"
"2018-Oct-03","1276.70","1276.70","1276.70","1276.70","0.08K","-0.31%"
"2018-Oct-02","1280.70","1280.70","1280.70","1280.70","0.00K","1.29%"
"2018-Oct-01","1264.40","1264.40","1264.40","1264.40","0.18K","-0.34%"
"2018-Sep-28","1268.70","1270.00","1270.00","1270.00","0.00K","0.71%"
"2018-Sep-27","1259.80","1260.00","1260.00","1260.00","0.00K","-0.94%"
"2018-Sep-26","1271.80","1271.80","1271.80","1271.80","0.00K","-0.50%"
"2018-Sep-25","1278.20","1278.20","1278.20","1278.20","0.02K","0.06%"
"2018-Sep-24","1277.40","1277.40","1277.40","1277.40","0.01K","0.24%"
"2018-Sep-21","1274.30","1274.30","1274.30","1274.30","0.04K","-0.79%"
"2018-Sep-20","1284.40","1284.40","1284.40","1284.40","0.01K","0.23%"
"2018-Sep-19","1281.50","1281.50","1281.50","1281.50","0.01K","0.45%"
"2018-Sep-18","1275.70","1275.70","1275.70","1275.70","0.03K","-0.21%"
"2018-Sep-17","1278.40","1278.40","1278.40","1278.40","0.04K","0.36%"
"2018-Sep-14","1273.80","1273.80","1273.80","1273.80","0.00K","-0.56%"
"2018-Sep-13","1281.00","1281.00","1281.00","1281.00","0.02K","-0.23%"
"2018-Sep-12","1283.90","1269.60","1271.00","1269.50","0.02K","0.75%"
"2018-Sep-11","1274.40","1274.40","1274.40","1274.40","0.02K","0.22%"
"2018-Sep-10","1271.60","1271.60","1271.60","1271.60","0.01K","-0.04%"
"2018-Sep-07","1272.10","1272.10","1272.10","1272.10","0.00K","-0.28%"
"2018-Sep-06","1275.70","1275.70","1275.70","1275.70","0.00K","0.24%"
"2018-Sep-05","1272.60","1266.10","1271.90","1266.10","0.01K","0.19%"
"2018-Sep-04","1270.20","1270.20","1270.20","1270.20","0.03K","5.30%"
"2018-Sep-03","1206.30","1204.90","1209.60","1201.30","-","0.12%"
"2018-Sep-02","1204.90","1206.20","1206.60","1204.50","-","-5.70%"
"2018-Aug-31","1277.70","1277.70","1277.70","1277.70","0.03K","0.13%"
"2018-Aug-30","1276.10","1276.10","1276.10","1276.10","0.01K","-0.56%"
"2018-Aug-29","1283.30","1283.30","1283.30","1283.30","0.03K","-0.24%"
"2018-Aug-28","1286.40","1286.40","1286.40","1286.40","0.14K","-0.12%"
"2018-Aug-27","1288.00","1288.00","1288.00","1288.00","0.15K","0.23%"
"2018-Aug-24","1285.00","1285.00","1285.00","1285.00","0.01K","1.56%"
"2018-Aug-23","1265.20","1265.20","1265.20","1265.20","0.00K","-0.83%"
