"Date","Close","Open","High","Low","Volume","Change %"
"2019-Oct-21","58.96","59.23","59.55","58.26","212.57K","-0.77%"
"2019-Oct-18","59.42","59.78","60.29","59.01","228.14K","-0.82%"
"2019-Oct-17","59.91","58.99","60.04","58.69","269.84K","0.82%"
"2019-Oct-16","59.42","58.90","59.75","58.36","257.88K","1.16%"
"2019-Oct-15","58.74","59.30","59.68","58.00","305.68K","-1.03%"
"2019-Oct-14","59.35","60.69","60.73","58.50","283.07K","-1.92%"
"2019-Oct-11","60.51","59.53","60.69","59.21","367.63K","2.39%"
"2019-Oct-10","59.10","58.04","59.60","57.80","262.53K","1.34%"
"2019-Oct-09","58.32","58.02","59.35","57.91","266.48K","0.14%"
"2019-Oct-08","58.24","58.47","58.92","57.38","274.74K","-0.19%"
"2019-Oct-07","58.35","58.02","59.68","58.02","228.41K","-0.03%"
"2019-Oct-04","58.37","57.69","58.96","57.67","299.92K","1.14%"
"2019-Oct-03","57.71","57.54","57.99","56.15","336.90K","0.03%"
"2019-Oct-02","57.69","59.25","59.50","57.22","307.91K","-2.04%"
"2019-Oct-01","58.89","59.38","60.10","58.41","291.67K","-3.11%"
"2019-Sep-30","60.78","62.24","62.24","60.73","22.01K","-1.83%"
"2019-Sep-27","61.91","62.48","62.75","60.76","97.33K","-1.32%"
"2019-Sep-26","62.74","62.58","62.92","61.45","115.57K","0.56%"
"2019-Sep-25","62.39","62.44","62.81","61.23","201.47K","-1.13%"
"2019-Sep-24","63.10","64.40","64.60","62.30","216.28K","-2.58%"
"2019-Sep-23","64.77","65.23","65.50","63.53","204.78K","0.76%"
"2019-Sep-20","64.28","65.00","65.28","64.05","224.88K","-0.19%"
"2019-Sep-19","64.40","63.51","65.57","63.46","258.85K","1.26%"
"2019-Sep-18","63.60","64.23","64.99","63.04","295.05K","-1.47%"
"2019-Sep-17","64.55","68.15","69.26","63.55","620.49K","-6.48%"
"2019-Sep-16","69.02","66.45","71.95","64.75","735.54K","14.61%"
"2019-Sep-13","60.22","60.45","60.81","59.60","195.83K","-0.26%"
"2019-Sep-12","60.38","61.16","61.39","58.92","358.09K","-0.71%"
"2019-Sep-11","60.81","62.88","63.27","60.52","315.12K","-2.52%"
"2019-Sep-10","62.38","62.82","63.78","62.17","267.55K","-0.34%"
"2019-Sep-09","62.59","61.60","63.00","61.57","249.71K","1.71%"
"2019-Sep-06","61.54","60.81","61.88","59.40","287.36K","0.97%"
"2019-Sep-05","60.95","60.49","62.40","60.25","292.06K","0.41%"
"2019-Sep-04","60.70","58.17","60.96","58.13","283.10K","4.19%"
"2019-Sep-03","58.26","58.54","58.87","57.23","265.12K","-0.68%"
"2019-Sep-02","58.66","58.80","59.26","58.10","121.64K","-2.93%"
"2019-Aug-30","60.43","60.98","61.17","60.25","25.14K","-1.06%"
"2019-Aug-29","61.08","60.48","61.19","59.98","131.09K","0.98%"
"2019-Aug-28","60.49","60.04","61.00","59.80","134.26K","1.65%"
"2019-Aug-27","59.51","58.80","60.17","58.51","218.37K","1.38%"
"2019-Aug-26","58.70","58.35","60.17","58.24","183.30K","-1.08%"
"2019-Aug-23","59.34","60.11","60.29","58.30","321.24K","-0.97%"
"2019-Aug-22","59.92","60.43","60.89","59.47","276.11K","-0.63%"
"2019-Aug-21","60.30","60.11","61.41","60.07","269.68K","0.45%"
"2019-Aug-20","60.03","59.68","60.32","58.95","245.25K","0.49%"
"2019-Aug-19","59.74","58.72","59.92","58.64","211.45K","1.88%"
"2019-Aug-16","58.64","58.41","59.50","58.28","209.43K","0.70%"
"2019-Aug-15","58.23","59.07","59.42","57.67","298.67K","-2.10%"
"2019-Aug-14","59.48","61.07","61.08","58.21","320.43K","-2.97%"
"2019-Aug-13","61.30","58.47","61.50","58.00","338.08K","4.66%"
"2019-Aug-12","58.57","58.30","58.88","57.88","221.35K","0.07%"
"2019-Aug-09","58.53","57.74","59.10","57.11","281.80K","2.00%"
"2019-Aug-08","57.38","57.48","58.01","56.77","299.69K","2.05%"
"2019-Aug-07","56.23","58.68","59.23","55.88","485.19K","-4.60%"
"2019-Aug-06","58.94","59.56","60.56","58.55","328.15K","-1.45%"
"2019-Aug-05","59.81","61.46","61.56","59.66","378.86K","-3.36%"
"2019-Aug-02","61.89","61.16","62.95","60.98","364.14K","2.30%"
"2019-Aug-01","60.50","64.09","64.54","60.02","433.72K","-7.17%"
"2019-Jul-31","65.17","64.95","65.42","64.95","18.76K","0.70%"
"2019-Jul-30","64.72","63.91","65.14","63.90","86.10K","1.59%"
"2019-Jul-29","63.71","63.32","63.90","62.92","101.70K","0.39%"
"2019-Jul-26","63.46","63.28","63.96","63.01","159.86K","0.11%"
"2019-Jul-25","63.39","63.21","64.23","63.01","169.84K","0.33%"
"2019-Jul-24","63.18","64.13","64.66","62.59","301.51K","-1.02%"
"2019-Jul-23","63.83","63.26","64.46","62.66","272.73K","0.90%"
"2019-Jul-22","63.26","63.05","64.03","62.77","267.78K","1.26%"
"2019-Jul-19","62.47","62.50","63.37","61.83","298.98K","0.87%"
"2019-Jul-18","61.93","63.52","64.46","61.29","374.89K","-2.72%"
"2019-Jul-17","63.66","64.44","65.28","63.22","274.93K","-1.07%"
"2019-Jul-16","64.35","66.31","67.09","63.82","356.74K","-3.20%"
"2019-Jul-15","66.48","66.87","67.47","66.11","283.09K","-0.36%"
"2019-Jul-12","66.72","66.83","67.29","66.51","244.70K","0.30%"
"2019-Jul-11","66.52","66.81","67.65","66.43","283.02K","-0.73%"
"2019-Jul-10","67.01","64.78","67.12","64.63","349.51K","4.44%"
"2019-Jul-09","64.16","63.81","64.75","63.76","263.89K","0.08%"
"2019-Jul-08","64.11","64.34","65.14","63.79","253.82K","-0.19%"
"2019-Jul-05","64.23","63.27","64.52","62.91","203.54K","1.47%"
"2019-Jul-04","63.30","63.88","64.07","62.95","114.98K","-0.81%"
"2019-Jul-03","63.82","62.90","64.01","62.09","281.75K","2.28%"
"2019-Jul-02","62.40","64.80","65.51","62.22","386.94K","-4.09%"
"2019-Jul-01","65.06","65.05","66.75","64.22","361.41K","-2.24%"
"2019-Jun-28","66.55","66.51","66.84","66.08","34.62K","0.00%"
"2019-Jun-27","66.55","66.05","66.82","65.63","103.16K","0.09%"
"2019-Jun-26","66.49","65.80","66.85","65.60","141.95K","2.21%"
"2019-Jun-25","65.05","64.89","65.98","64.17","205.80K","0.29%"
"2019-Jun-24","64.86","65.50","65.79","64.08","217.44K","-0.52%"
"2019-Jun-21","65.20","64.86","65.76","64.00","257.92K","1.16%"
"2019-Jun-20","64.45","62.45","64.82","62.40","394.17K","4.25%"
"2019-Jun-19","61.82","62.40","62.55","61.40","320.06K","-0.51%"
"2019-Jun-18","62.14","60.93","62.84","60.25","327.70K","1.97%"
"2019-Jun-17","60.94","62.07","62.37","60.74","236.16K","-1.73%"
