"Date","Close","Open","High","Low","Change %"
"2021-Jun-08","1892.82","1898.99","1903.95","1883.38","-0.33%"
"2021-Jun-07","1899.00","1888.49","1900.41","1880.88","0.48%"
"2021-Jun-04","1889.97","1871.32","1896.60","1856.09","1.04%"
"2021-Jun-03","1870.57","1908.09","1909.89","1865.11","-1.96%"
"2021-Jun-02","1907.94","1900.05","1909.34","1894.05","0.41%"
"2021-Jun-01","1900.19","1907.53","1916.84","1892.28","-0.32%"
"2021-May-31","1906.36","1903.69","1911.13","1901.56","0.20%"
"2021-May-28","1902.64","1897.05","1905.90","1881.84","0.35%"
"2021-May-27","1896.08","1896.49","1903.87","1888.22","-0.02%"
"2021-May-26","1896.44","1899.49","1913.15","1890.34","-0.15%"
"2021-May-25","1899.26","1880.69","1900.63","1872.73","0.97%"
"2021-May-24","1881.07","1882.34","1887.44","1875.19","0.04%"
"2021-May-21","1880.30","1876.84","1889.85","1870.01","0.19%"
"2021-May-20","1876.69","1869.74","1884.12","1863.53","0.38%"
"2021-May-19","1869.57","1869.59","1890.15","1851.94","0.07%"
"2021-May-18","1868.22","1866.59","1875.40","1862.94","0.11%"
"2021-May-17","1866.13","1843.84","1868.80","1841.24","1.30%"
"2021-May-14","1842.19","1826.49","1845.55","1819.79","0.86%"
"2021-May-13","1826.57","1815.90","1828.81","1808.78","0.61%"
"2021-May-12","1815.44","1837.40","1843.69","1813.00","-1.17%"
"2021-May-11","1836.94","1834.58","1842.32","1817.68","0.08%"
"2021-May-10","1835.44","1833.24","1845.53","1830.09","0.27%"
"2021-May-07","1830.48","1815.48","1843.45","1812.90","0.84%"
"2021-May-06","1815.18","1787.09","1818.21","1781.67","1.61%"
"2021-May-05","1786.44","1778.91","1788.35","1769.95","0.45%"
"2021-May-04","1778.48","1792.29","1799.38","1770.84","-0.77%"
"2021-May-03","1792.36","1768.49","1798.22","1765.91","1.34%"
"2021-Apr-30","1768.59","1772.90","1773.98","1763.73","-0.15%"
"2021-Apr-29","1771.24","1780.90","1790.43","1756.19","-0.57%"
"2021-Apr-28","1781.32","1776.80","1782.85","1762.56","0.26%"
"2021-Apr-27","1776.69","1780.42","1785.90","1773.52","-0.20%"
"2021-Apr-26","1780.19","1776.34","1783.69","1768.70","0.17%"
"2021-Apr-23","1777.18","1784.33","1796.06","1770.05","-0.38%"
"2021-Apr-22","1783.94","1794.15","1798.29","1776.83","-0.53%"
"2021-Apr-21","1793.46","1778.64","1797.98","1775.95","0.91%"
